FIN,DVS,WSO,SM,NAVAIL,LAI,NAMOUNTRT,NDEMANDST,PDEMANDSO,RNUPTAKE,RKUPTAKERT,RPUPTAKELV,KDEMANDLV,PTRANSLOCATABLE,PAVAIL,PERCT,WRT,GRLV,IRRAD,TEMP,TMIN,TMAX,VAP,RAIN,WIND,DAYS ELAPSED
0.0,-0.1,0.0,0.3043251934841641,0.09756034959378435,0.006475881948250821,0.22684647034807204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4203143177460089,0.0,6.745710362761271,0.0,12150000.0,8.97,4.0,13.97,10.240866553894,0.162,1.8,1.0
0.0,-0.1,0.0,0.3339882959193841,0.2874189113931832,0.006475881948250821,0.22684647034807204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6591134319423468,0.0,6.745710362761271,0.0,15890000.0,10.13,5.99,15.17,10.290065723928432,0.20299999999999999,1.36,2.0
0.0,-0.1,0.0,0.33408552255141244,0.47727747319258207,0.006475881948250821,0.22684647034807204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8979125461386848,0.0,6.745710362761271,0.0,13820000.0,10.4,6.43,14.35,10.396193950989241,0.11200000000000002,1.86,3.0
0.0,-0.1,0.0,0.32596635359252246,0.6671360349919809,0.006475881948250821,0.22684647034807204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1367116603350227,0.0,6.745710362761271,0.0,17610000.0,11.34,4.69,16.58,11.372474406004876,0.215,1.81,4.0
0.0,-0.1,0.0,0.33171079570793716,0.8569945967913798,0.006475881948250821,0.22684647034807204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3755107745313606,0.0,6.745710362761271,0.0,5910000.0,11.59,8.25,15.25,12.173062948610973,0.261,2.58,5.0
0.0,-0.1,0.0,0.3433406476886238,1.0468531585907788,0.006475881948250821,0.22684647034807204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6143098887276985,0.0,6.745710362761271,0.0,18950000.0,6.16,2.57,9.97,7.333812362784213,0.118,5.17,6.0
0.0,-0.1,0.0,0.3291414829301689,1.2367117203901776,0.006475881948250821,0.22684647034807204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8531090029240365,0.0,6.745710362761271,0.0,18050000.0,5.86,1.86,10.34,7.0513659676731315,0.013000000000000001,3.77,7.0
0.0,-0.1,0.0,0.31673172963858215,1.4265702821895765,0.006475881948250821,0.22684647034807204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0919081171203744,0.0,6.745710362761271,0.0,13940000.0,5.57,0.91,10.08,6.991033827118848,0.015,3.72,8.0
0.0,-0.1,0.0,0.34522474760081107,1.6164288439889754,0.006475881948250821,0.22684647034807204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3307072313167123,0.0,6.745710362761271,0.0,13950000.0,5.8,1.37,9.86,7.240295178109636,0.098,3.57,9.0
0.0,-0.1,0.0,0.33580988147484353,1.8062874057883742,0.006475881948250821,0.22684647034807204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5695063455130502,0.0,6.745710362761271,0.0,13880000.0,5.71,3.48,7.75,8.265208707618116,0.692,4.46,10.0
0.0,-0.1,0.0,0.38895628108140934,1.996145967587773,0.006475881948250821,0.22684647034807204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.808305459709388,0.0,6.745710362761271,0.0,11150000.0,7.27,4.12,10.83,8.423297447786481,0.099,4.61,11.0
0.0,-0.1,0.0,0.3770242075517356,2.186004529387172,0.006475881948250821,0.22684647034807204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.047104573905726,0.0,6.745710362761271,0.0,9750000.0,6.92,4.11,9.12,8.982182808663667,0.298,3.24,12.0
0.0,-0.1,0.0,0.3957936107388782,2.375863091186571,0.006475881948250821,0.22684647034807204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.285903688102064,0.0,6.745710362761271,0.0,17600000.0,9.16,5.21,12.19,10.683928860791065,0.626,1.53,13.0
0.0,-0.1,0.0,0.43354052912912383,2.56572165298597,0.006475881948250821,0.22684647034807204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.524702802298402,0.0,6.745710362761271,0.0,10840000.0,9.47,6.36,11.87,10.705788877960131,0.29900000000000004,1.28,14.0
0.0,-0.1,0.0,0.44477207735973984,2.755580214785369,0.006475881948250821,0.22684647034807204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76350191649474,0.0,6.745710362761271,0.0,16940000.0,9.98,6.06,15.09,10.374891535503147,0.071,0.9,15.0
0.0,-0.1,0.0,0.43040695025526016,2.9454387765847683,0.006475881948250821,0.22684647034807204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.002301030691078,0.0,6.745710362761271,0.0,13980000.0,10.36,5.97,14.27,10.889492267140577,0.24100000000000002,2.3,16.0
0.0,-0.1,0.0,0.44341696089279947,4.450241963698881,0.006475881948250821,0.22684647034807204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.241100144887416,0.0,6.745710362761271,0.0,20120000.0,11.87,6.6,16.32,10.793623189564311,0.05,2.06,17.0
0.0,-0.1,0.0,0.4238600393323883,4.71998845963867,0.006475881948250821,0.22684647034807204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.479899259083754,0.0,6.745710362761271,0.0,17030000.0,11.86,7.92,16.61,12.205764686674538,2.592,2.31,18.0
0.0,-0.1,0.0,0.6007789514377734,4.914700520131744,0.006475881948250821,0.22684647034807204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.718698373280092,0.0,6.745710362761271,0.0,15530000.0,11.67,8.71,15.15,11.16646508190601,0.337,3.16,19.0
0.0,-0.1,0.0,0.5546992832225403,5.104607599364172,0.006475881948250821,0.22684647034807204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.95749748747643,0.5903558078344672,6.745710362761271,0.0,5650000.0,8.78,5.98,10.74,10.122244289324474,0.951,3.37,20.0
0.0,-0.1,0.0,0.6007789514377734,5.294469108783889,0.006475881948250821,0.22684647034807204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.196296601672768,0.8173033605416445,6.745710362761271,0.0,13790000.0,9.64,6.04,13.9,10.1570069227793,0.495,4.42,21.0
0.0,-0.1,0.0,0.5702703734877786,5.484327824918377,0.006475881948250821,0.22684647034807204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.435095715869106,1.4135412376190537,6.745710362761271,0.0,15290000.0,10.69,6.33,14.11,11.045941406933222,0.078,1.51,22.0
