FIN,DVS,WSO,SM,NAVAIL,LAI,NAMOUNTRT,NDEMANDST,PDEMANDSO,RNUPTAKE,RKUPTAKERT,RPUPTAKELV,KDEMANDLV,PTRANSLOCATABLE,PAVAIL,PERCT,WRT,GRLV,IRRAD,TEMP,TMIN,TMAX,VAP,RAIN,WIND,DAYS ELAPSED
0.0,-0.1,0.0,0.2909208459228027,0.006053906059631964,0.013806576046882678,0.04587034111251629,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17244407732691402,0.0,1.6436400055812712,0.0,12150000.0,8.97,4.0,13.97,10.240866553894,0.162,1.8,1.0
0.0,-0.09864168825214636,0.0,0.3897610655835917,0.31566286509744457,0.013806576046882678,0.04587034111251629,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4584375100719055,0.0,1.6436400055812712,0.0,15890000.0,10.13,5.99,15.17,10.290065723928432,0.20299999999999999,1.36,2.0
0.0,-0.09562623364714987,0.0,0.3899435321168108,0.6252718241352572,0.013806576046882678,0.04587034111251629,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7444309428168969,0.0,1.6436400055812712,0.0,13820000.0,10.4,6.43,14.35,10.396193950989241,0.11200000000000002,1.86,3.0
0.0,-0.09222506475643909,0.0,0.3749498929157588,0.9348807831730698,0.013806576046882678,0.04587034111251629,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0304243755618883,0.0,1.6436400055812712,0.0,17610000.0,11.34,4.69,16.58,11.372474406004876,0.215,1.81,4.0
0.0,-0.08748103872287116,0.0,0.38573056500334363,1.2444897422108823,0.013806576046882678,0.04587034111251629,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3164178083068796,0.0,1.6436400055812712,0.0,5910000.0,11.59,8.25,15.25,12.173062948610973,0.261,2.58,5.0
0.0,-0.08237986983216039,0.0,0.4078001800788216,1.5540987012486949,0.013806576046882678,0.04587034111251629,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.602411241051871,0.0,1.6436400055812712,0.0,18950000.0,6.16,2.57,9.97,7.333812362784213,0.118,5.17,6.0
0.0,-0.08237986983216039,0.0,0.3813961306600192,1.8637076602865075,0.013806576046882678,0.04587034111251629,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8884046737968623,0.0,1.6436400055812712,0.0,18050000.0,5.86,1.86,10.34,7.0513659676731315,0.013000000000000001,3.77,7.0
0.0,-0.08237986983216039,0.0,0.35810657908364896,2.17331661932432,0.013806576046882678,0.04587034111251629,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1743981065418536,0.0,1.6436400055812712,0.0,13940000.0,5.57,0.91,10.08,6.991033827118848,0.015,3.72,8.0
0.0,-0.08237986983216039,0.0,0.4115798106464116,2.4829255783621327,0.013806576046882678,0.04587034111251629,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.460391539286845,0.0,1.6436400055812712,0.0,13950000.0,5.8,1.37,9.86,7.240295178109636,0.098,3.57,9.0
0.0,-0.08237986983216039,0.0,0.39415451907556837,2.7925345373999453,0.013806576046882678,0.04587034111251629,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7463849720318363,0.0,1.6436400055812712,0.0,13880000.0,5.71,3.48,7.75,8.265208707618116,0.692,4.46,10.0
0.0,-0.08237986983216039,0.0,0.477818483280526,3.102143496437758,0.013806576046882678,0.04587034111251629,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0323784047768276,0.0,1.6436400055812712,0.0,11150000.0,7.27,4.12,10.83,8.423297447786481,0.099,4.61,11.0
0.0,-0.08237986983216039,0.0,0.4715020013582228,3.4117524554755705,0.013806576046882678,0.04587034111251629,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.318371837521819,0.0,1.6436400055812712,0.0,9750000.0,6.92,4.11,9.12,8.982182808663667,0.298,3.24,12.0
0.0,-0.08237986983216039,0.0,0.49763622722125816,3.721361414513383,0.013806576046882678,0.04587034111251629,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6043652702668103,0.0,1.6436400055812712,0.0,17600000.0,9.16,5.21,12.19,10.683928860791065,0.626,1.53,13.0
0.0,-0.08075012951287819,0.0,0.5446670877570505,4.030970373551195,0.013806576046882678,0.04587034111251629,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8903587030118016,0.0,1.6436400055812712,0.0,10840000.0,9.47,6.36,11.87,10.705788877960131,0.29900000000000004,1.28,14.0
0.0,-0.07867753205073884,0.0,0.5446670877570505,4.340579332589008,0.013806576046882678,0.04587034111251629,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.176352135756793,0.0,1.6436400055812712,0.0,16940000.0,9.98,6.06,15.09,10.374891535503147,0.071,0.9,15.0
0.0,-0.07587636316002806,0.0,0.5446670877570505,4.6501882916268205,0.013806576046882678,0.04587034111251629,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.462345568501784,0.0,1.6436400055812712,0.0,13980000.0,10.36,5.97,14.27,10.889492267140577,0.24100000000000002,2.3,16.0
0.0,-0.07253233712646014,0.0,0.5446670877570505,5.689464098508297,0.013806576046882678,0.04587034111251629,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.748339001246776,0.0,1.6436400055812712,0.0,20120000.0,11.87,6.6,16.32,10.793623189564311,0.05,2.06,17.0
0.0,-0.06703116823574935,0.0,0.5446670877570505,6.348444399073982,0.013806576046882678,0.04587034111251629,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.034332433991767,0.0,1.6436400055812712,0.0,17030000.0,11.86,7.92,16.61,12.205764686674538,2.592,2.31,18.0
0.0,-0.061544285059324286,0.0,0.5446670877570505,6.825335638568556,0.013806576046882678,0.04587034111251629,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.320325866736758,0.0,1.6436400055812712,0.0,15530000.0,11.67,8.71,15.15,11.16646508190601,0.337,3.16,19.0
0.0,-0.056328830454327794,0.0,0.5446670877570505,7.185867078748902,0.013806576046882678,0.04587034111251629,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.60631929948175,0.0,1.6436400055812712,0.0,5650000.0,8.78,5.98,10.74,10.122244289324474,0.951,3.37,20.0
